filters1,ksize1,filters2,ksize2,filters3,ksize3,full_hidd1,full_hidd2,activation,learning_rate,batch_size,momentum,patch_reduction,optimizer,best_loss,best_acc,best_train_acc,best_train_loss,no_epochs,logdir
64,5,64,5,128,5,125,80,relu,0.002,32,0.99,0,adam,0.8769248127937317,0.72079998254776,0.7525541217838014,0.7143684949193682,12,./log/run-20190731T220005/
32,5,96,4,128,3,125,80,relu,0.002,32,0.99,0,adam,0.8488109111785889,0.7121999859809875,0.7146464720368385,0.8193393649657568,11,./log/run-20190731T220129/
32,3,64,4,128,5,125,100,relu,0.002,64,0.99,2,adam,0.9320069551467896,0.6748999953269958,0.6720000167191028,0.9352549165487289,9,./log/run-20190731T220235/
96,5,48,5,128,4,100,125,relu,0.001,128,0.95,1,rmsprop,1.1720558404922485,0.5928000211715698,0.5827867221564819,1.1570457403476422,8,./log/run-20190731T220308/
32,4,64,3,128,3,100,80,lrelu,0.002,64,0.95,1,rmsprop,0.9964544773101807,0.6827999949455261,0.6751453158921665,0.924947607782152,14,./log/run-20190731T220340/
16,4,48,4,64,5,60,80,relu,0.002,64,0.9,1,nesterov,1.0378347635269165,0.6399000287055969,0.6227692493200302,1.0645994853973388,10,./log/run-20190731T220427/
96,3,96,5,96,5,125,100,relu,0.002,64,0.95,0,adam,0.8708956837654114,0.7159000039100647,0.7409230906764667,0.7414457033077876,11,./log/run-20190731T220457/
96,4,96,4,64,3,60,80,relu,0.002,32,0.99,2,nesterov,0.9488831162452698,0.685699999332428,0.7400000083446503,0.7641101591289043,13,./log/run-20190731T220610/
96,4,48,5,96,3,100,80,lrelu,0.001,128,0.99,2,nesterov,1.0785729885101318,0.6270999908447266,0.6265652967760196,1.0661437895435553,13,./log/run-20190731T220732/
16,4,128,4,64,5,60,80,relu,0.0015,32,0.95,2,adam,0.9805691242218018,0.6705999970436096,0.6854545519351959,0.9158166514635087,10,./log/run-20190731T220820/
32,5,128,3,96,5,100,100,relu,0.003,32,0.99,1,nesterov,0.9336373209953308,0.6866999864578247,0.7166060671806336,0.8275649741888046,10,./log/run-20190731T220918/
32,5,96,5,96,4,100,125,elu,0.002,32,0.95,0,nesterov,0.9467766880989075,0.6876000165939331,0.7420606133937836,0.7690524525046348,10,./log/run-20190731T221017/
64,4,128,3,128,3,100,125,lrelu,0.001,32,0.99,2,rmsprop,1.0267142057418823,0.6736999750137329,0.6948484912514686,0.8703521821275353,13,./log/run-20190731T221119/
96,5,48,5,96,5,100,80,elu,0.001,32,0.95,0,adam,0.8782523274421692,0.7188000082969666,0.7450505132476489,0.7478800541659196,11,./log/run-20190731T221236/
96,4,64,5,96,3,125,125,lrelu,0.003,32,0.99,0,nesterov,0.9151390790939331,0.7089999914169312,0.7868939485400915,0.6432100852578878,13,./log/run-20190731T221357/
96,3,128,4,64,4,60,100,elu,0.0015,64,0.9,1,adam,0.8758389353752136,0.7095999717712402,0.7235692465305328,0.7963271973133087,10,./log/run-20190731T221531/
96,3,48,4,96,5,125,80,elu,0.0015,64,0.9,0,nesterov,0.9722580909729004,0.6624000072479248,0.6956307855248451,0.8902265918254852,10,./log/run-20190731T221624/
96,5,48,3,96,5,100,125,elu,0.0015,32,0.9,0,nesterov,0.9054412841796875,0.6895999908447266,0.7140606136322022,0.8340361442565918,10,./log/run-20190731T221712/
