filters1,ksize1,filters2,ksize2,filters3,ksize3,full_hidd1,full_hidd2,activation,learning_rate,batch_size,momentum,patch_reduction,optimizer,best_loss,best_acc,best_train_acc,best_train_loss,no_epochs,logdir
64,5,64,5,128,5,125,80,relu,0.002,32,0.99,0,adam,0.850903153,0.722199976,0.719595966,0.788537057,11,./log/run-20190731T202129/
32,5,96,4,128,3,125,80,relu,0.002,32,0.99,0,adam,0.901699483,0.691900015,0.698909098,0.858828237,10,./log/run-20190731T202250/
32,3,64,4,128,5,125,100,relu,0.002,64,0.99,2,adam,0.890155673,0.697600007,0.687630786,0.896934732,10,./log/run-20190731T202353/
96,5,48,5,128,4,100,125,relu,0.001,128,0.95,1,rmsprop,1.003657579,0.663900018,0.645796065,0.988492775,10,./log/run-20190731T202433/
32,4,64,3,128,3,100,80,lrelu,0.002,64,0.95,1,rmsprop,1.10325098,0.629299998,0.627815403,1.055303376,10,./log/run-20190731T202515/
16,4,48,4,64,5,60,80,relu,0.002,64,0.9,1,nesterov,1.010576606,0.663100004,0.701818198,0.857721656,16,./log/run-20190731T202551/
96,3,96,5,96,5,125,100,relu,0.002,64,0.95,0,adam,0.902074873,0.692499995,0.684153862,0.891669566,9,./log/run-20190731T202644/
96,4,96,4,64,3,60,80,relu,0.002,32,0.99,2,nesterov,0.988047659,0.679199994,0.745050514,0.743323278,14,./log/run-20190731T202747/
96,4,48,5,96,3,100,80,lrelu,0.001,128,0.99,2,nesterov,1.089271784,0.636500001,0.655515802,1.000021653,15,./log/run-20190731T202920/
16,4,128,4,64,5,60,80,relu,0.0015,32,0.95,2,adam,0.939206839,0.697600007,0.727705633,0.779456018,12,./log/run-20190731T203018/
32,5,128,3,96,5,100,100,relu,0.003,32,0.99,1,nesterov,0.931527734,0.677699983,0.691666672,0.891320707,9,./log/run-20190731T203134/
32,5,96,5,96,4,100,125,elu,0.002,32,0.95,0,nesterov,0.950965047,0.687900007,0.760202028,0.716164898,11,./log/run-20190731T203241/
64,4,128,3,128,3,100,125,lrelu,0.001,32,0.99,2,rmsprop,1.024624825,0.662800014,0.67363637,0.942757154,11,./log/run-20190731T203349/
96,5,48,5,96,5,100,80,elu,0.001,32,0.95,0,adam,0.851326585,0.708199978,0.686060614,0.882296583,9,./log/run-20190731T203457/
96,4,64,5,96,3,125,125,lrelu,0.003,32,0.99,0,nesterov,0.859119534,0.712000012,0.748585866,0.737998577,11,./log/run-20190731T203604/
96,3,128,4,64,4,60,100,elu,0.0015,64,0.9,1,adam,0.933863282,0.676599979,0.665435915,0.939545052,8,./log/run-20190731T203724/
96,3,48,4,96,5,125,80,elu,0.0015,64,0.9,0,nesterov,0.923802257,0.685100019,0.709948733,0.839222077,11,./log/run-20190731T203808/
96,5,48,3,96,5,100,125,elu,0.0015,32,0.9,0,nesterov,0.949507594,0.689899981,0.766893947,0.693091064,13,./log/run-20190731T203902/
16,4,64,5,64,4,125,80,lrelu,0.001,64,0.99,1,adam,0.975901186,0.673799992,0.678769248,0.913858964,11,./log/run-20190731T204022/
96,4,64,3,64,5,60,100,relu,0.003,128,0.9,1,adam,0.907465219,0.702700019,0.731365535,0.765193633,13,./log/run-20190731T204058/
32,4,64,4,64,5,60,125,elu,0.003,64,0.95,0,adam,0.923897862,0.704200029,0.734256425,0.772178508,11,./log/run-20190731T204144/
64,5,96,4,64,3,100,100,elu,0.003,128,0.95,1,rmsprop,1.080152512,0.647899985,0.671777831,0.932678795,12,./log/run-20190731T204225/
64,3,96,3,64,3,125,100,relu,0.003,64,0.99,0,nesterov,0.953223646,0.675899982,0.706974374,0.840291405,11,./log/run-20190731T204307/
96,5,128,5,64,5,100,80,lrelu,0.003,64,0.95,2,adam,0.864684761,0.708100021,0.678030784,0.891870218,10,./log/run-20190731T204349/
64,4,128,5,128,3,60,80,lrelu,0.0015,32,0.95,0,nesterov,0.944006026,0.677699983,0.729939401,0.796229319,10,./log/run-20190731T204447/
96,5,128,3,128,5,100,125,elu,0.002,32,0.9,0,rmsprop,1.368008733,0.608699977,0.562828289,1.322880372,11,./log/run-20190731T204604/
96,4,48,3,128,4,125,100,relu,0.002,128,0.9,2,adam,0.898635149,0.697700024,0.697972571,0.859343839,11,./log/run-20190731T204733/
96,4,64,5,96,4,125,80,lrelu,0.0015,128,0.99,1,rmsprop,1.040382028,0.678900003,0.717874177,0.801723034,13,./log/run-20190731T204809/
64,4,128,5,96,5,60,80,elu,0.001,128,0.95,2,rmsprop,0.931886315,0.699400008,0.687537267,0.905045112,10,./log/run-20190731T204905/
96,4,48,5,128,4,125,80,relu,0.003,64,0.9,1,rmsprop,1.166012406,0.609200001,0.584923095,1.162837686,11,./log/run-20190731T204946/
96,5,96,3,128,4,60,100,lrelu,0.002,64,0.9,1,rmsprop,1.009133339,0.702400029,0.725661552,0.77814347,15,./log/run-20190731T205035/
96,5,64,5,128,4,125,125,elu,0.003,128,0.99,1,rmsprop,1.222673535,0.650099993,0.673159744,0.945112105,14,./log/run-20190731T205151/
32,5,128,3,128,4,100,100,lrelu,0.0015,32,0.9,0,adam,0.869514167,0.716799974,0.747070716,0.721717832,11,./log/run-20190731T205249/
96,4,128,3,64,4,100,125,elu,0.001,128,0.9,0,adam,0.877765357,0.703800023,0.716994631,0.813051016,10,./log/run-20190731T205358/
64,3,64,4,128,3,100,125,relu,0.002,32,0.99,0,rmsprop,1.230864644,0.564199984,0.561818187,1.198464083,14,./log/run-20190731T205440/
32,4,96,3,96,3,60,100,relu,0.002,64,0.95,1,nesterov,1.006693006,0.670899987,0.707350442,0.847148493,14,./log/run-20190731T205559/
64,3,48,4,128,3,100,80,relu,0.001,32,0.95,0,adam,0.887772441,0.69599998,0.668333338,0.939490105,9,./log/run-20190731T205642/
64,3,128,3,64,5,60,80,relu,0.002,64,0.95,0,rmsprop,1.039318681,0.662500024,0.673914547,0.927503443,14,./log/run-20190731T205734/
64,5,128,3,64,3,60,100,lrelu,0.003,32,0.9,1,nesterov,0.951658785,0.685299993,0.730476197,0.786232576,12,./log/run-20190731T205840/
16,5,128,5,96,4,100,80,relu,0.001,64,0.95,2,nesterov,1.06098032,0.63440001,0.65282053,0.994285881,11,./log/run-20190731T205949/
32,5,128,5,96,3,125,125,relu,0.003,64,0.95,2,rmsprop,1.173016191,0.586099982,0.547692326,1.261545901,9,./log/run-20190731T210029/
64,4,48,3,64,5,60,80,elu,0.001,128,0.9,2,adam,1.026363134,0.655399978,0.70751342,0.827927918,13,./log/run-20190731T210104/
96,3,64,5,96,4,100,125,relu,0.0015,32,0.95,2,nesterov,0.998828113,0.651600003,0.682424247,0.921176139,10,./log/run-20190731T210142/
64,4,64,3,96,5,60,80,lrelu,0.001,64,0.95,0,nesterov,0.987586439,0.672100008,0.709769246,0.838319833,13,./log/run-20190731T210243/
