num,accuracy,no_epochs,learning_rate,batch_size,momentum,loss
1,0.722199976,11,0.002,32,0.99,0.850903153
2,0.691900015,10,0.002,32,0.99,0.901699483
3,0.697600007,10,0.002,64,0.99,0.890155673
4,0.663900018,10,0.001,128,0.95,1.003657579
5,0.629299998,10,0.002,64,0.95,1.10325098
6,0.663100004,16,0.002,64,0.9,1.010576606
7,0.692499995,9,0.002,64,0.95,0.902074873
8,0.679199994,14,0.002,32,0.99,0.988047659
9,0.636500001,15,0.001,128,0.99,1.089271784
10,0.697600007,12,0.0015,32,0.95,0.939206839
11,0.677699983,9,0.003,32,0.99,0.931527734
12,0.687900007,11,0.002,32,0.95,0.950965047
13,0.662800014,11,0.001,32,0.99,1.024624825
14,0.708199978,9,0.001,32,0.95,0.851326585
15,0.712000012,11,0.003,32,0.99,0.859119534
16,0.676599979,8,0.0015,64,0.9,0.933863282
17,0.685100019,11,0.0015,64,0.9,0.923802257
18,0.689899981,13,0.0015,32,0.9,0.949507594
19,0.673799992,11,0.001,64,0.99,0.975901186
20,0.702700019,13,0.003,128,0.9,0.907465219
21,0.704200029,11,0.003,64,0.95,0.923897862
22,0.647899985,12,0.003,128,0.95,1.080152512
23,0.675899982,11,0.003,64,0.99,0.953223646
24,0.708100021,10,0.003,64,0.95,0.864684761
25,0.677699983,10,0.0015,32,0.95,0.944006026
26,0.608699977,11,0.002,32,0.9,1.368008733
27,0.697700024,11,0.002,128,0.9,0.898635149
28,0.678900003,13,0.0015,128,0.99,1.040382028
29,0.699400008,10,0.001,128,0.95,0.931886315
30,0.609200001,11,0.003,64,0.9,1.166012406
31,0.702400029,15,0.002,64,0.9,1.009133339
32,0.650099993,14,0.003,128,0.99,1.222673535
33,0.716799974,11,0.0015,32,0.9,0.869514167
34,0.703800023,10,0.001,128,0.9,0.877765357
35,0.564199984,14,0.002,32,0.99,1.230864644
36,0.670899987,14,0.002,64,0.95,1.006693006
37,0.69599998,9,0.001,32,0.95,0.887772441
38,0.662500024,14,0.002,64,0.95,1.039318681
39,0.685299993,12,0.003,32,0.9,0.951658785
40,0.63440001,11,0.001,64,0.95,1.06098032
41,0.586099982,9,0.003,64,0.95,1.173016191
42,0.655399978,13,0.001,128,0.9,1.026363134
43,0.651600003,10,0.0015,32,0.95,0.998828113
44,0.672100008,13,0.001,64,0.95,0.987586439
45,0.682099998,10,0.001,32,0.99,0.940776169
46,0.66109997,13,0.002,64,0.9,1.004596472
47,0.675599992,11,0.002,128,0.95,0.982660174
48,0.694299996,11,0.002,32,0.9,0.928301871
49,0.685800016,11,0.002,64,0.99,0.92587775
50,0.658100009,13,0.001,64,0.99,0.996871293
51,0.720799983,12,0.002,32,0.99,0.876924813
52,0.712199986,11,0.002,32,0.99,0.848810911
53,0.674899995,9,0.002,64,0.99,0.932006955
54,0.592800021,8,0.001,128,0.95,1.17205584
55,0.682799995,14,0.002,64,0.95,0.996454477
56,0.639900029,10,0.002,64,0.9,1.037834764
57,0.715900004,11,0.002,64,0.95,0.870895684
58,0.685699999,13,0.002,32,0.99,0.948883116
59,0.627099991,13,0.001,128,0.99,1.078572989
60,0.670599997,10,0.0015,32,0.95,0.980569124
61,0.686699986,10,0.003,32,0.99,0.933637321
62,0.687600017,10,0.002,32,0.95,0.946776688
63,0.673699975,13,0.001,32,0.99,1.026714206
64,0.718800008,11,0.001,32,0.95,0.878252327
65,0.708999991,13,0.003,32,0.99,0.915139079
66,0.709599972,10,0.0015,64,0.9,0.875838935
67,0.662400007,10,0.0015,64,0.9,0.972258091
68,0.689599991,10,0.0015,32,0.9,0.905441284
69,0.663500011,12,0.001,64,0.99,1.016946077
70,0.707499981,13,0.003,128,0.9,0.91049844
71,0.689599991,12,0.003,64,0.95,1.045645952
72,0.675100029,16,0.003,128,0.95,1.151032209
73,0.68629998,12,0.003,64,0.99,0.921901584
74,0.691500008,10,0.003,64,0.95,0.915752053
75,0.692499995,12,0.0015,32,0.95,0.937575579
76,0.529900014,9,0.002,32,0.9,1.448125362
77,0.704100013,14,0.002,128,0.9,0.942840457
78,0.673900008,10,0.0015,128,0.99,0.981187701
79,0.674000025,10,0.001,128,0.95,1.000407338
80,0.61650002,12,0.003,64,0.9,1.182992935
81,0.696699977,15,0.002,64,0.9,0.997945309
82,0.681200027,14,0.003,128,0.99,1.137610912
83,0.70599997,11,0.0015,32,0.9,0.916898429
84,0.723100007,12,0.001,128,0.9,0.851435959
85,0.590300024,15,0.002,32,0.99,1.195336103
86,0.656099975,15,0.002,64,0.95,1.05083847
87,0.702700019,12,0.001,32,0.95,0.901690066
88,0.678600013,12,0.002,64,0.95,0.981791794
89,0.651199996,10,0.003,32,0.9,1.011242151
90,0.640900016,13,0.001,64,0.95,1.059366822
91,0.646700025,13,0.003,64,0.95,1.056097507
92,0.67019999,10,0.001,128,0.9,0.957096875
93,0.672900021,11,0.0015,32,0.95,0.946801662
94,0.67839998,13,0.001,64,0.95,0.933076382
95,0.692399979,11,0.001,32,0.99,0.947076261
96,0.66930002,14,0.002,64,0.9,1.029423833
97,0.682200015,11,0.002,128,0.95,0.941244841
98,0.701399982,13,0.002,32,0.9,0.98013711
99,0.675400019,12,0.002,64,0.99,0.993027329
100,0.650300026,13,0.001,64,0.99,1.009483576
